portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
Casasymas,venta,https://www.casasymas.com.uy/propiedad/277962-apartamento-en-venta-de-3-dormitorios-con-piscina-y-garage-en-carrasco-montevideo#venta,"Apartamento en Venta de 3 dormitorios con Piscina y Garage en Carrasco, Montevideo",,Carrasco,USD,630000,,3,2,471
Casasymas,venta,https://www.casasymas.com.uy/propiedad/276606-venta-apartamento-1-dormitorio-en-pocitos-al-frente-a-pasos-de-26-de-marzo-y-a-metros-de-la-rambla-bajos-gastos-comune#venta,Venta | Apartamento 1 Dormitorio en Pocitos | Al Frente | A Pasos de 26 de Marzo y a metros de la Rambla | Bajos Gastos Comune,,Pocitos,USD,154000,,1,1,
Casasymas,venta,https://www.casasymas.com.uy/propiedad/265412-apartamento-en-venta-1-dormitorio-en-el-centro-montevideo-met-city#venta,"Apartamento en venta, 1 dormitorio en el Centro, Montevideo. MET City",,Centro,USD,140215,,1,1,51
Casasymas,venta,https://www.casasymas.com.uy/propiedad/282352-venta-casa-de-3-dormitorios-en-carrasco-sur-a-pasos-del-lawn-tennis#venta,Venta casa de 3 dormitorios en Carrasco Sur. A pasos del Lawn Tennis,,Carrasco,USD,820000,,3,5,700
Casasymas,venta,https://www.casasymas.com.uy/propiedad/259886-casa-en-venta-en-la-blanqueada#venta,Casa en venta en La Blanqueada,,La Blanqueada,USD,180000,,3,2,143
Casasymas,venta,https://www.casasymas.com.uy/propiedad/277028-casa-de-4-dormitorios-en-venta-en-carrasco#venta,"Casa de 4 dormitorios en venta, en Carrasco",,Carrasco,USD,990000,,4,5,1.013
Casasymas,venta,https://www.casasymas.com.uy/propiedad/269498-apartamento-en-venta-de-2-dormitorios-con-piscina-y-garage-en-malvin-montevideo#venta,"Apartamento en Venta de 2 dormitorios con Piscina y Garage en Malvín, Montevideo",,Malvín,USD,320000,,2,2,85
Casasymas,venta,https://www.casasymas.com.uy/propiedad/282592-casa-en-venta-c-cochera-en-union-admite-banco-requiere-reciclaje#venta,Casa en venta c/ cochera en Unión admite banco. Requiere reciclaje,,Unión,USD,260000,,4,4,197
Casasymas,venta,https://www.casasymas.com.uy/propiedad/282541-casa-de-tres-dormitorios-en-venta-en-punta-carretas-con-garaje#venta,Casa de tres dormitorios en venta en Punta Carretas con garaje,,Punta Carretas,USD,368000,,3,2,152
Casasymas,venta,https://www.casasymas.com.uy/propiedad/282416-apartamento-monoambiente-venta-pocitos-montevideo-imasuy-lc#venta,Apartamento Monoambiente Venta Pocitos Montevideo iMas.uy LC *,,Pocitos,USD,119000,,0,1,26
Casasymas,venta,https://www.casasymas.com.uy/propiedad/277259-casa-de-4-dormitorios-con-piscina-en-venta-en-carrasco#venta,"Casa de 4 dormitorios con piscina en venta, en Carrasco",,Carrasco,USD,990000,,4,5,353
