portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
InfoCasas,venta,https://www.infocasas.com.uy/venta-casa-con-fondo-en-tres-cruces-3-dormitorios-garaje-y-parrillero/193882525,"Venta Casa con fondo en Tres Cruces 3 dormitorios, garaje y parrillero",Casa,Tres Cruces,USD,349000,,3,2,281
InfoCasas,venta,https://www.infocasas.com.uy/exclusiva-residencia-de-lujo-en-rambla-punta-gorda-vistas-panoramicas-y-confort-inigualable/192802387,Exclusiva Residencia de Lujo en Rambla Punta Gorda: Vistas Panorámicas y Confort Inigualable.,Casa,Punta Gorda,USD,920000,,4,3,353
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-1-dormitorio-a-estrenar-edificio-alzira/193573832,Venta apartamento 1 dormitorio a estrenar Edificio Alzira,Apartamento,Larrañaga,USD,133500,4000,1,1,35
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-en-venta-sobre-avenida-de-las-americas-10260-2-dormitorios-con-gran-terraza-amenities-y-seguridad-24-horas/193753319,"Apartamento en venta sobre Avenida de las Américas 10260, 2 dormitorios con gran terraza, amenities y seguridad 24 horas",Apartamento,Parque Miramar,USD,290000,,2,3,120
InfoCasas,venta,https://www.infocasas.com.uy/requena-y-chana-planta-baja-al-frente-1-dormitorio-u-oficina-ideal-renta/190965839,Requena Y Chana .Planta Baja .Al Frente .1 Dormitorio u Oficina Ideal Renta.,Apartamento,Cordón,USD,98000,3000,1,1,36
InfoCasas,venta,https://www.infocasas.com.uy/inversion-de-alta-rentabilidad-apto-alquilado-bajo-exoneraciones-fiscales-de-ley-de-vivienda-promovida/193950503,"Inversión de alta rentabilidad, apto alquilado bajo exoneraciones fiscales de Ley de Vivienda Promovida",Apartamento,Cordón,USD,195000,7300,2,1,57
InfoCasas,venta,https://www.infocasas.com.uy/proyectos/nostrum-plaza-2-apartamentos-2-y-3-dormitorios-en-tres-cruces/15018359,Nostrum Plaza 2 | Apartamentos 2 Y 3 Dormitorios En Tres Cruces,Proyecto,Cordón,USD,162781,,2,1,56.74
InfoCasas,venta,https://www.infocasas.com.uy/proyectos/brusco-by-ixou/15018036,BRUSCO by IXOU,Proyecto,Centro,USD,174428,,1,1,66.7
InfoCasas,venta,https://www.infocasas.com.uy/proyectos/pres-maua/15017973,Près Mauá,Proyecto,Ciudad Vieja,USD,130686,,1,1,49.46
InfoCasas,venta,https://www.infocasas.com.uy/estrenar-apto-orientacion-norte-39-m2-de-patio-amenidades-y-opcion-agregar-garage/193958249,"Estrenar apto orientación norte, 39 m2 de patio, amenidades y opción agregar garage",Apartamento,Cordón,USD,166000,5600,1,1,46
InfoCasas,venta,https://www.infocasas.com.uy/solaris-buceo-en-venta/193512120,SOLARIS BUCEO EN VENTA,Apartamento,Buceo,USD,169000,,1,1,54
InfoCasas,venta,https://www.infocasas.com.uy/bajo-de-precio-casa-venta-padron-unico-4-dormitorios-y-garaje-en-brazo-oriental/193784982,Bajó de Precio! Casa venta Padrón Único 4 dormitorios y garaje en Brazo Oriental,Casa,Brazo Oriental,USD,238000,,4,1,165
InfoCasas,venta,https://www.infocasas.com.uy/venta-en-pocitos-penthouse/193761698,Venta En Pocitos! Penthouse!,Apartamento,Pocitos,USD,219000,9500,2,1,55
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-1-dormitorio-punta-carretas/193495720,Venta Apartamento 1 Dormitorio Punta Carretas,Proyecto,Punta Carretas,USD,187131,,1,1,82
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-a-estrenar-de-1-dormitorio-con-amenities-en-piso-alto-en-cordon-sobre-la-calle-rodo/192800878,Apartamento a estrenar de 1 dormitorio con amenities en piso alto en Cordon sobre la calle rodó,Proyecto,Cordón,USD,126750,3611,1,1,44
InfoCasas,venta,https://www.infocasas.com.uy/venta-de-apartamento-de-3-dormitorios-en-vostok-pocitos/192519511,"Venta de apartamento de 3 dormitorios en Vostok, Pocitos",Apartamento,Pocitos,USD,260000,,3,2,91
InfoCasas,venta,https://www.infocasas.com.uy/pocitos-1-dormitorio-con-patio-venta/193387103,Pocitos 1 dormitorio con patio venta,Apartamento,Pocitos,USD,175000,6000,1,1,66
InfoCasas,venta,https://www.infocasas.com.uy/oficina-en-ciudad-vieja/193287110,Oficina en Ciudad Vieja,Oficina,Ciudad Vieja,USD,28000,5500,,1,35
InfoCasas,venta,https://www.infocasas.com.uy/venta-de-casas-carrasco-5-dormitorios/192647211,Venta De Casas Carrasco 5 Dormitorios,Casa,Carrasco,USD,1620000,,5,3,508
InfoCasas,venta,https://www.infocasas.com.uy/venta-casa-2-locales-comerciales-y-4-apartamentos-en-punta-carretas/192675811,"Venta Casa, 2 Locales Comerciales y 4 Apartamentos en Punta Carretas",Casa,Punta Carretas,USD,710000,,10,3,268
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-en-venta-3-dormitorios-garage-3-cruces/192722738,Apartamento en Venta 3 Dormitorios Garage 3 Cruces,Apartamento,Tres Cruces,USD,238000,5500,3,1,60
InfoCasas,venta,https://www.infocasas.com.uy/en-venta-apartamento-de-1-dormitorio-en-pocitos-nuevo-ideal-inversores/192536212,"En Venta Apartamento de 1 dormitorio en Pocitos Nuevo, Ideal Inversores",Apartamento,Pocitos Nuevo,USD,172000,,1,1,33
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-duplex-venta-2-dormitorios-3-cruces/192455033,Apartamento Duplex Venta 2 Dormitorios 3 Cruces,Apartamento,Tres Cruces,USD,139900,6200,2,1,60
InfoCasas,venta,https://www.infocasas.com.uy/venta-monoambiente/192478407,VENTA MONOAMBIENTE,Apartamento,La Blanqueada,USD,108000,,1,1,39
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-en-parque-batlle/193730354,Apartamento en Parque Batlle,Apartamento,Parque Batlle,USD,140000,5000,2,1,51
InfoCasas,venta,https://www.infocasas.com.uy/venta-casa-la-blanqueada-400m2-4-dormitorios-patio-y-garaje/193563614,VENTA CASA LA BLANQUEADA +400M2 4 DORMITORIOS PATIO Y GARAJE,Casa,La Blanqueada,USD,500000,,4,3,180
InfoCasas,venta,https://www.infocasas.com.uy/grecia-esq-holanda-de-altos/193743831,GRECIA ESQ. HOLANDA - DE ALTOS,Casa,Cerro,USD,118000,,4,2,178
InfoCasas,venta,https://www.infocasas.com.uy/se-vende-casa-en-barrio-la-blanqueada-terreno-de-471m2-cocheras/193706743,"Se Vende Casa En Barrio La Blanqueada, Terreno De 471m2, Cocheras.",Casa,Larrañaga,USD,235000,,2,1,76
InfoCasas,venta,https://www.infocasas.com.uy/vende-apartamento-en-punta-carretas-al-frente-3-dormitorios-2-baños-garaje/193783447,"VENDE APARTAMENTO EN PUNTA CARRETAS AL FRENTE / 3 DORMITORIOS, /2 BAÑOS / GARAJE",Apartamento,Punta Carretas,USD,265000,12900,3,2,79
InfoCasas,venta,https://www.infocasas.com.uy/casa-de-dos-plantas-buceo-2-dorm-2-baños-garage/193909700,Casa de dos plantas | Buceo | 2 dorm. | 2 baños | Garage,Casa,Buceo,USD,210000,,2,2,120
InfoCasas,venta,https://www.infocasas.com.uy/casablanca-pocitos-amplitud-vistas-despejadas-y-excelente-ubicacion/193866938,"CASABLANCA - Pocitos: amplitud, vistas despejadas y excelente ubicación",Apartamento,Pocitos,USD,250000,11300,3,2,76
InfoCasas,venta,https://www.infocasas.com.uy/venta-de-apartamento-1-dormitorio-y-garaje-en-cordon-sur/193685616,Venta de apartamento 1 dormitorio y Garaje en Cordón Sur,Apartamento,Cordón,USD,129000,3200,1,1,40
InfoCasas,venta,https://www.infocasas.com.uy/venta-casa-ph-3-dormitorios-1-baño-con-parrillero-y-garaje-carrasco/193925266,Venta Casa PH 3 dormitorios 1 baño con parrillero y garaje Carrasco,Casa,Carrasco,USD,238000,3000,3,1,102
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-en-venta-en-prado/193927066,Apartamento en venta en Prado,Apartamento,Prado,USD,84000,2500,1,1,40
InfoCasas,venta,https://www.infocasas.com.uy/oportunidad-para-inversores-venta-apto-zona-tres-cruces/193858691,OPORTUNIDAD PARA INVERSORES - VENTA APTO ZONA TRES CRUCES,Apartamento,Tres Cruces,USD,125000,,2,1,83
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-monoambiente-opcion-amoblado-en-punta-carretas/193796913,"Venta apartamento monoambiente, opcion amoblado en Punta Carretas",Apartamento,Punta Carretas,USD,135000,3100,0,1,36
